par_id,art_id,keyword,country_code,text,label
8210,@@15547791,refugee,my,Some Rohingya refugees have been missing for days after a group crossed the river Naaf that separates Myanmar and Bangladesh -- those who managed to enter Bangladesh sought shelter in refugee camps or people 's homes .,0
505,@@17222746,immigrant,lk,"And why should older workers be thrown on the scrap heap when they are 65 ? There is plenty of work to be done for those with experience . If they are not put to good use , as the population ages millions of immigrants will be needed in Europe and the US . Can one expect societies to adjust uncomplainingly when they feel the country is slipping away from the natives ?",0
1314,@@23114433,immigrant,ca,"As for Biney , the boundlessly positive daughter of a Ghanaian immigrant who will compete in short-track skating , her impressive achievements do n't stop at being just one of two African-American women to finally compete as speed skaters in the Winter Games . She 's also one of only four foreign-born U.S. Olympians and the second-ever African-born U.S. Olympian .",0
6597,@@16563371,women,sg,"The two-week Indian Women 's League ( IWL ) will be a beginning of a new era in country 's women 's football , AIFF President Praful Patel announced at a press conference .",0
8266,@@22123432,homeless,ie,Christmas market at Mendicity Institution will raise funds for homeless men <h> Up to 50 homeless men from eastern Europe avail of Mendicity Institution 's services,0
7228,@@20338165,immigrant,lk,"Ramanan is very optimistic about her company , believing everyone is equal and deserves a chance : London is a city of immigrants ... Not enough is said about the great positives that immigrants bring .",1
1355,@@16391664,vulnerable,ke,"Pharmacies are recording an increase in number of young men and women in search of sex enhancement drugs , which is different from a few years back when these were almost predominantly a preserve of older people . These trends point to the fact that the bar is shifting downwards for age groups that are vulnerable to incidences of low libido .",0
4106,@@21753102,homeless,us,"About United Way Greater Los Angeles : United Way of Greater Los Angeles is a nonprofit organization fighting to end homelessness and poverty by providing students with support needed to graduate high school prepared for college and the workforce , providing housing for our homeless neighbors , and helping hard-working families become financially stable . United Way identifies the root causes of poverty and works strategically to solve them by building alliances across all sectors , funding targeted programs and advocating for change . For more information , visit http : //www.unitedwayla.org.",1
9477,@@20848340,refugee,lk,The threat of Buddhist monk led mobs protesting against the Rohingya refugees has led to security being tightened in Boosa.,0
6844,@@4540354,women,jm,The women began dancing and singing lines from Kartel 's Jail for Me .,0
5238,@@23487485,homeless,ng,A similar crisis between the two groups in last year June claimed eighteen lives including properties worth millions of naira just as thousands of people were rendered homeless .,0
7819,@@7982234,poor-families,my,Zambry said the state government would carry out its own research to ensure the number of poor and hardcore poor families in the state because the system used by the Economic Planning Unit might not be suitable for the state .,0
2056,@@14656837,disabled,bd,"More than 60m retires , disabled workers , spouses and children rely on monthly Social Security benefits . That 's nearly one in five Americans . The trustees who oversee Social Security say the program has enough money to pay full benefits until 2034 . But at that point , Social Security will collect only enough taxes to pay 79% of benefits . Unless Congress acts , millions of people on fixed incomes would get an automatic 21% cut in benefits , reports The Associated Press .",0
3846,@@22981859,poor-families,ke,"He said the flagship health insurance scheme would cover more than 100 million poor families and provide 500,000 rupees ( $7,825 ; ? 5,520 ) in medical coverage for each family annually .",0
7267,@@70044189,disabled,ph,"Another Android feature will let you leech the color from your screen after a certain hour . This option , called "" Grayscale , "" turns everything monochrome , rendering apps -- and , heck , the entire phone to some extent -- less appealing , presumably making it easier to put the phone down . Apple has a similar setting , although it 's buried in the Accessibility settings for disabled users .",0
1445,@@10344562,migrant,ph,"In a move which highlighted the provisional nature of some of the Brussels deal , Cameron admitted details of an "" emergency brake "" -- limiting how much in benefits EU migrants can claim in Britain for their first four years here -- had yet to be worked out .",0
5903,@@10066365,refugee,pk,"These figures , Mr. Eliasson explained , also include 20 million refugees for the purpose of "" statistical correctness "" and despite there being a "" different legal regime "" for them as compared to migrants .",0
3340,@@21156240,refugee,za,"GENEVA - The UN refugee agency urged Bangladesh on Tuesday to speed up vetting of up to 15,000 Rohingya refugees "" stranded "" near the border after crossing into the country from Myanmar and move them further inland to safer and better conditions .",0
9227,@@4517138,in-need,jm,"Part of the church 's collection also goes towards a special care fund which assists families in need to finance medical bills or school fees . The pastor said that though the fund is limited , countless persons have benefited from it in the nine years it has been in operation .",0
3445,@@10146444,migrant,lk,"Evidence shows that the death penalty is disproportionately targetted at minorities , the poor and immigrant communities -- people less able to have a voice and speak out for themselves , which is one reason why it demands that the rest of us state our unequivocal opposition to it .",1
408,@@16430390,in-need,sg,"VWO , Aware join hands to train needy in eldercare",1
6511,@@18702985,vulnerable,pk,"Weakening and division of Syrian state means an even greater potential for the Levant to become a breeding ground for militancy and protracted violence . Studies have always proved that small states are more vulnerable to terrorism and militancy . Creating new microstates would only threaten fragile lives with even greater uncertainty , instability and fear .",0
323,@@17143337,vulnerable,sg,"It also implies that not all displaced families should be targeted with aid . This would be particularly important if a large proportion of host community households in a given area are particularly vulnerable -- thus reducing their capacity to take in additional populations . Creating such systems to bring down poverty levels and allow all people to have adequate housing would benefit the entire population -- displaced or not , whether they receive the aid or not .",0
8001,@@21427511,refugee,gh,"Yes , He said the truth and the truth may set us free from the humanitarian crisis epidemic . The truth is Foreign Affairs &amp;amp ; Diplomatic Cooperation , which will intervene among the Bangladesh and Myanmar recently crisis fall in the Rakhain/Rohingya refugees issues whoever flees from Myanmar to Bangladesh that total volume of mayanmar Muslim refugees are One Million .",0
9682,@@22190270,refugee,au,"As Afghans come home in droves -- Afghanistan is now likely hosting some three million internal and returning refugees -- these dynamics put women and children returnees at increased risk of sexual and gender-based violence , says Manizha Naderi , executive director of Women for Afghan Women .",0
5240,@@9682068,refugee,nz,"The Singapore branch of a multi-national agency claimed its ' I Sea ' app could help smartphone users monitor the Mediterranean for boats carrying refugees . The ' client ' was a rescue outfit called Migrant Offshore Aid Station ( MOAS ) , based in Malta , which could respond and save lives . But it did n't work .",0
2951,@@21462391,hopeless,jm,"The gun is one of the most dangerous weapons available to criminals . Most of the murders in Jamaica are being carried out with the gun . So unless we get the guns , we will still be helpless and hopeless when it comes to crime .",0
118,@@24885862,in-need,za,"This is the rhetoric of what anthropologist Laura Agust ? n calls the "" rescue industry "" - a term used to describe people and institutions who conceptualize all sex workers as victims in need of saving . Catherine MacKinnon has argued , for example , that "" in prostitution , women have sex with men they would never otherwise have sex with .",4
3300,@@1921368,in-need,gh,Regions not showing improvement on these key indicators may be in need of some focused attention in order to address any bottlenecks impeding improved maternal and child health outcomes .,0
5898,@@9272514,disabled,bd,"For the first time ever in Bangladesh a daylong IT competition for disabled youth students was held at the permanent campus of University of Asia Pacific ( UAP ) on June 04 , 2016 .",0
6344,@@13892184,homeless,ng,"HURIWA continued that , "" Particularly troubling and unsettling is the reported plan by Mr. El-Ruffai to demolish the fully developed Catholic Parish in Mando in the center of the state capital and the Gbagyi community- an outskirt of the state which will render thousands of people homeless even when no concrete compensation or resettlement plans have been completed .",0
10218,@@410450,disabled,ie,The Rehab Group and Rehab Lotteries Ltd claim a decision by Minister for Justice Alan Shatter to end funding under the Charitable Lotteries Scheme will damage their core activity of helping the disabled and the disadvantaged . Photograph : Dara Mac D ? naill/The Irish Times,0
2297,@@14887997,poor-families,ng,""" Most of the successful students are from the poor families and had undergone thorough screening before getting the admission . "" We have also made adequate arrangement to ensure prompt settlement of all their fees to enable them concentrate fully on their studies . """,0
1395,@@21197354,hopeless,nz,"Much more needs to be done by the government to provide viable alternatives to the car . An additional 12,000 cars from the Transmission Gully motorway and other road improvements will cause even more congestion in central Wellington , which can not be avoided with hopelessly unsustainable projects such as the Basin Reserve Flyover .... It is time the government abandoned its 1960 's style transport plans and looked at what has worked overseas . It needs to take a long , hard look at the benefits light rail would bring on routes with high user potential .",0
7003,@@3723465,vulnerable,ie,"This unmistakable bird is one of the latest to be named "" vulnerable "" .",0
9827,@@13631237,refugee,za,There have been further tensions between the two countries over a migration deal reached earlier this year between Turkey and the European Union . The agreement aims to drastically reduce migration flows to the bloc in exchange for humanitarian aid to refugees and fast tracking visa-free access to Europe for Turks .,0
9240,@@8862701,poor-families,ph,"Aside from this , Osme ? a said the executive department did not submit the plans for the construction of a P50-million medium-rise building for the urban poor families and informal settlers .",0
7331,@@20467043,immigrant,nz,An immigration advocacy group is rubbishing New Zealand First 's plan to change superannuation eligibility rules for immigrants .,0
7498,@@2791062,hopeless,ca,"Almost 30 years later , Back to the Future provides , in a roundabout way , the title for Ben Lerner 's beguiling second novel , 10:04 . The titular timestamp is taken from the climactic scene where Doc Brown , time-travelling scientist and friend to animals , hangs from the face of a clock , trying at the last minute to get a young Michael J. Fox back to 1985 before he becomes hopelessly trapped in the past . The clock reads 10:04 when lightning strikes .",0
4618,@@20535487,homeless,au,A US woman has been charged with attempted murder for allegedly shooting a homeless man when he asked her to move her Porsche .,0
7732,@@23535764,women,hk,"In second and third places were Link Real Estate Investment Trust and Hang Seng Bank , with 33.3 percent and 31.3 percent of women respectively , followed by China Resources Power Holdings ( 30 percent ) and HSBC Holdings ( 29.4 percent ) .",0
3624,@@15363148,migrant,gh,"Since then , the New York property developer had repeatedly vowed , if elected , to deport about 11 million undocumented immigrants in the country .",0
2131,@@4397115,hopeless,lk,"But Manoj had a huge problem , something he concealed from Ishari , but this secret would not last long , as the pair moved into a rented room , which they began to share . Manoj was hopelessly hooked to heroin and very soon , he was to introduce it to Ishari .",0
4048,@@20091451,homeless,ie,"THE HOUSING CRISIS has had a devastating effect on so many people across the country . I recently shared my story about my family 's experience with mortgage arrears and homelessness . Our story is not unique and we are far from alone . The Central Bank recently reported that there are currently 76,000 mortgages in arrears .",0
5179,@@22853747,hopeless,hk,""" BLACK FAMILY "" The words as big as my granddaughter were painted on our brick wall with black paint . A sense of hopelessness and guilt washed over me . I placed down the bucket as my vision started to become blurry and tainted by tears . I blinked once and they fell and slid down my cheeks . I bit my lower lip in an attempt to stop myself from sobbing . There was no time to cry , there was no point to it . I have to be strong .",0
8888,@@24262220,poor-families,gh,"Dr. Abdul-Hamid pointed out that thanks to the prioritization of social protection programmes , the Ministry of Finance has doubled the capitation grant by 100 per cent to enable children from poor families attend school at the basic level from two percent to three percent .",0
803,@@291994,in-need,us,""" Crowdfunding for grownups "" : BridgePointe connects investors to small businesses in need of capital",0
6505,@@21556908,homeless,pk,He experienced people trying to set him on fire and stealing from his pockets whilst sleeping rough . Abobaker thinks the government should set up companies that offer people training and employment and aims to establish a restaurant employing homeless people himself one day .,1
4469,@@1810005,immigrant,gh,"Like so many immigrants coming to America , Eva arrives with her father and younger sister to California in search of a better life . However , Eva does not imagine that to find happiness she will first have to suffer a terrible loss , because her life is intertwined with dark family secrets , lies , deception and ambition of a powerful family .",1
8095,@@70003929,disabled,us,"This gong show originated when the Town of Cochrane designated this park as multi use , i.e. a mixture of off leash dogs getting their required exercise , seniors , cyclists , children , scooters , disabled , and the odd person in an out of control rage over a dog scuffle .",0
6347,@@21815076,hopeless,ng,"It was gathered that most of them are dying of misery and hopelessness , having retired from active service.The upper chamber , therefore , directed its Committee on Judiciary , Human Rights and Legal Matters to review the laws impeding the harmonisation of the processes and prompt payment of retirement benefits of all judicial officers in the country .",3
6200,@@19807217,vulnerable,lk,"However , the report also demonstrates the need for countries to act even more quickly and forcefully to win this fight . The tobacco industry remains the biggest obstacle to even greater progress . Tobacco companies are aggressively targeting low-and middle-income countries . Marketing their deadly products to children and other vulnerable populations , and doing everything they can to fight proven strategies to reduce tobacco use . The investigative reports just released by Reuters and The Guardian detailed the massive efforts of Philip Morris International and British American Tobacco to defeat , weaken or delay effective tobacco control policies across the globe .",0
1084,@@18768152,migrant,nz,"Swabhoomi addresses the issues migrants faced decades ago -- an order of no ethnic cooking from landlords -- and the ones the present generation is facing -- the case of alleged immigration fraud that was followed by deportation of hundreds of Indian students . So whether you 're a new immigrant , a skilled migrant , or someone who has been here for decades , you 'll find a part of yourself in the story .",0
805,@@18929186,women,nz,"Even when it 's about the ideas , when If There 's Not Dancing is about women who have to live with what pop culture puts on them , when Power Ballad is on our current language 's insufficiencies , Croft makes them about the women who have to actually live through these concepts in their everyday lives .",0
2582,@@4521116,migrant,jm,Overall the factbook found that there are more than 215 million international migrants in the world and that recorded,0
2829,@@20540342,refugee,bd,"However , the UN agencies expect the situation to improve with aid trickling in to the difficult-to-reach areas and the refugees registering in organised camps .",0
2401,@@24735779,homeless,ng,"Police officer patrol outside Windsor Castle ahead of the wedding ceremony of Prince Harry and Meghan Markle at St. George 's Chapel in Windsor , near London , England , Saturday , May 19 , 2018 . The charity aims to help homeless people start small businesses or gain employment and they have a t-shirt signed by homeless people which they are hoping to give to the royal couple . ( AP Photo/Matt Dunham )",0
8280,@@1866028,hopeless,ke,Chairman of the Kenya Nuclear Electricity Board Achilo Ayacko said the journey towards nuclear power began in 2010 after the Kenyan leadership looked at the development needs and discovered that the country would be hopelessly developed if it did not discover new forms of energy .,0
3946,@@24941755,migrant,my,""" Since its launch in February 2016 to last Monday , 744,942 illegal immigrants and 83,919 employers had registered under the Rehiring Programme , "" he said in a statement here yesterday .",0
10441,@@24581066,migrant,ca,"Now , after four years since he founded the LC Notary Corporation , his team consists of seven people and keeps growing every year . During this time , Cazacu has been nominated and awarded with several prestigious local , provincial and national awards . He has won the B.C. Best Immigrant Entrepreneur of the Year ( awarded by the Small Business BC ) and the Business Person of the Year under 40 ( awarded by the Langley Chamber of Commerce ) .",0
9005,@@16827075,women,pk,ISLAMABAD : Pakistan 's female tennis ace Ushna Suhail has said that Pakistan 's last week 's win in Davis Cup tie against Iran would also help promote women tennis in the country .,0
1083,@@17542587,vulnerable,bd,""" The 54th polling centre is the most vulnerable , "" he said . "" There are also 15 polling centres in remote areas of the constituency considered sensitive . """,0
9855,@@1958113,homeless,tz,"Last week , many Dar es Salaam residents were left homeless after the ministries of Lands and Environment , in collaboration with Kinondoni Municipal Council , demolished hundreds of homes illegally put up in the floods-prone Msimbazi valley .",0
7836,@@18793937,migrant,lk,"From Colombo to Negombo and even Kanatte , Kumudini Hettiarachchi sets out to trace the first wave of Chinese immigrants who brought with them their own brand of trade , textiles and dentures",0
4286,@@23200152,vulnerable,ie,"An evaluation of the Wolaita zone of Ethiopia found that , despite significant improvements in communities ' capacities to both absorb recurring disasters and to adapt their livelihoods based on experience of recent disasters , the area remains extremely vulnerable to recurring climatic stresses .",0
7333,@@19910690,women,my,Hundreds of women are killed by their relatives each year after allegedly bringing shame on their families in the deeply conservative Muslim country .,0
7640,@@3501943,refugee,lk,"This is the GREATEST SCAM perpetrated on the Sri Lankan Nation , that has been THRUST BELOW the BELOW the PUBLIC 's EYS , and carefully hidden under LAYERS of "" Compassion "" towards war victims , "" Reconliation "" , missing birth and familyiberately destroyed during the war years , and new ones issued in the place of those who have escaped abroad as FAKE refugees to Western countries .",0
3118,@@17305122,women,us,Some who read the park service 's explanation replied with a wink -- literally posting videos of women winking in reply to the NPS tweet .,0
3830,@@21639901,homeless,in,"The Banyan would execute this programme in all 43 urban homeless shelters in the city , the official added . The corporation runs four dedicated shelters ( out of 43 ) for the mentally ill in the city .",0
717,@@21283598,in-need,za,"This year in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual help , true comradeship and sound memory over the past 90 years , the MOTHs of the Better ' Ole Shellhole will stand proudly to attention as Guard of Honour and sentries for the duration of this year 's Wayside Cross Remembrance Ceremony .",3
300,@@911365,disabled,nz,"Parents caring for their disabled children do not receive payment . In 2010 , the Human Rights Review Tribunal ruled a ministry policy to pay carers only if they were not related to the patient was discriminatory .",0
7888,@@50041353,homeless,gb,Kate has also worked to help Liverpool 's homeless community by handing out gift boxes to women who are sleeping rough .,4
7776,@@15284965,disabled,ie,Michael J. Fox has opened up about living with Parkinson 's Disease for the last 25 years and reveals he has defied predictions that he would be disabled by now .,0
6079,@@70074146,refugee,nz,"New Zealand 's offer to take in "" 150 refugees from across Nauru and Manus still stands "" , she said at the official opening of a new science and technology building Nga Wai Hono at Auckland University of Technology yesterday .",0
8718,@@23785780,women,lk,"I am a Jaffna Tamil residing in the USA and I see the Sri Lankan professionals over here , both the Tamils and Sinhalese , holding top positions in Research , Universities HighTech industries , Law , and Finance.But then looking at the sterile Arab countries all we see are Sri Lankan women working as maids and servents to the rags to riches Arabs.A self respecting society would n't allow its women to be transported as maids to foreign land .",0
9699,@@15831145,in-need,pk,""" The Indian team is in need of new sets of formal attire . The cost per set will be approximately Rs 2.5 lakh per suit . And we intend to order 50 sets . Request your go-ahead , "" Johri wrote in an email .",0
5938,@@13716394,refugee,ph,"So , it is the poor , mostly Muslim countries which are helping the refugees and the displaced poor . If we think we are going to gain eternal life without passing the test that Jesus of Nazareth gives to end hunger , release innocent prisoners , cloth the naked and feed the hungry ( Matthew 25 ) and work for justice and love of neighbor -- we are mistaken . What greater way is there to live than to live for others and not for self .",4
5034,@@15898632,poor-families,sg,"To show what a difference OpenForms can make to people 's lives , one of our clients has used it for their kindergarten registrations . Hundreds of time-poor families have registered their children , including making secure digital payments on-the-go , with the touch of a button on their smartphone .",0
1712,@@4889957,vulnerable,nz,""" It 's about saying how much is vulnerable , how much is it worth , what is the cost of losing that , what is the cost of retreat or what is the cost if we had to relocate some of that stuff . And what is the cost benefit ratio of that . """,0
5729,@@8634160,vulnerable,jm,""" Let us not manipulate vulnerable minds ; let us speak truth to power and let the facts persuade all as to the virtues of our arguments . Let us not be emotive in our presentations , "" he said .",1
8295,@@14456715,refugee,gh,"He also said Ghana had joined other countries to increase international cooperation with regard to global migration flows , and was focused on a job solution strategy , in order to maximize productivity for sustainable incomes and livelihoods , he explained , underlining that his country 's national migration policy addressed human rights and safe passage of refugees and guaranteed the right of Ghanaians to migrate .",0
946,@@19461491,women,jm,"While growing up in the country , those labelled as ' bhuttos ' invariably exemplified a rebellious nature , men with shirts not tucked into trousers , shoes without socks , hair not combed , and women in hot pants , but without the vulgarity .",0
4387,@@19690202,in-need,jm,Fake friends dem ... Only check you when dem in need <h> by,0
1543,@@25748524,immigrant,ke,The Trump administration announced on Thursday that it will allow some 500 Somali immigrants to remain in the US for at least another 18 months .,0
5943,@@1859219,migrant,tz,"The House decided to sit in a special session devoted to the report on the exercise that was conducted in the past two months , following a visit by President Jakaya Kikwete to border districts near Rwanda and Burundi , and witnessed the chaos in the area . He then ordered two operations , Kimbunga against illegal immigrants and Tokomeza against poachers , and invaders of national parks with their large herds of cattle , and it is in the latter environment where atrocities were reported .",0
9989,@@21407274,women,hk,""" But actually , Tai Chi is much more than that . It is a philosophy and a practice that focuses on achieving balance in life . Everything in life is based on Tai Chi -- from heaven and earth , to men and women , to politics , to military , even in business , "" said Mr. Li .",0
2552,@@21595787,vulnerable,my,"The higher the position , the more vulnerable people become . This is the price we pay for our "" Malay-first "" policy.Most of those promoted to become judges come from the Attorney-General 's Chambers , and in-breeding does not generally help at all in the genetic growth of any species . The same fate awaits the Malaysian Judiciary .",0
5281,@@25523159,vulnerable,pk,"The temperature is significantly rising from the last week . It does not go below 30 Degree Celsius since June 29 . However , most of the causalities in Montreal were men with age 50 and above , who were living in vulnerable conditions .",0
3975,@@19431883,immigrant,gh,"The issue of deportation of undocumented immigrants was a key campaign message of then candidate Trump , who led the Republican Party in the 2016 US elections .",0
6741,@@4544311,in-need,bd,"That health care delivery in Bangladesh is in need of a major overhaul . The poor continue to die of preventable diseases , and infant and maternal mortality rates in Bangladesh are very high . A recent study by the donor agencies once again emphasises the fact that the funds and schemes meant for the poor in Bangladesh do not always reach them . Evidence shows that health services are primarily accessed by the better off people rather than the poor .",0
